Date,T2M,temperature_2m_min (°C),rain_sum (mm),humidity at 000 utc %,humidity at 000 utc %,pressure at 1200 utc%,windspeed at 1200utc%
01/01/2021,21.5,-0.5,0,91,43,955.1,0
02/01/2021,21,-0.5,0,91,37,955.6,0
03/01/2021,20.5,0,0,92,75,952.6,0
04/01/2021,19,5.5,0,94,71,956.4,2
05/01/2021,18,8,6,94,72,954.3,0
06/01/2021,15.5,6.3,5.7,93,57,954.6,4
07/01/2021,19.6,5.6,0,93,54,952.6,0
08/01/2021,18.5,5.5,0,93,79,952.8,0
09/01/2021,15.3,3,0,92,54,954.5,0
10/01/2021,19,3.4,0,93,47,952.6,0
11/01/2021,20.5,3,0,92,54,953.4,0
12/01/2021,19,2.5,0,92,54,952.6,0
13/01/2021,21,0,0,91,49,951.3,0
14/01/2021,19.5,1,0,91,68,953.6,0
15/01/2021,15.5,1.5,0,92,53,952.5,0
16/01/2021,19,1.5,0,92,59,950.9,0
17/01/2021,20,2,0,92,78,953.4,0
18/01/2021,15,2,0,92,53,955.6,2
19/01/2021,19.8,2,0,92,43,951.9,0
20/01/2021,21.5,1.8,0,92,29,952.1,2
21/01/2021,23.3,1.4,0,91,35,949.4,2
22/01/2021,23,2,0,92,54,949.7,0
23/01/2021,20,2.5,0,77,42,949.4,0
24/01/2021,17,2,0,92,33,954.8,4
25/01/2021,20,2,0,92,38,955.7,0
26/01/2021,19,1.5,0,92,30,954.8,0
27/01/2021,20,1,0,91,33,953.9,4
28/01/2021,21.2,1,0,91,28,955.1,2
29/01/2021,20.7,0.5,0,92,28,955.8,4
30/01/2021,20,0.5,0,91,34,952.3,0
31/01/2021,21.5,0.5,0,91,47,954,0
01/02/2021,20.5,1.9,0,85,33,956.8,4
02/02/2021,22.5,3.5,0,92,42,954.1,0
03/02/2021,21.3,4.5,0,86,50,956,2
04/02/2021,18,6,0,86,69,956.4,0
05/02/2021,18,3.5,7,92,44,956.4,0
06/02/2021,19.5,4,0,92,44,956.1,0
07/02/2021,21.5,3.5,0,92,41,954.4,0
08/02/2021,22,4,0,93,35,954.5,2
09/02/2021,23.5,7,0,93,42,950.5,0
10/02/2021,24.5,6.5,0,93,36,950.5,0
11/02/2021,25.5,5.5,0,86,32,952.2,0
12/02/2021,25,5,0,93,35,952.1,0
13/02/2021,25.5,6.1,0,93,35,952.7,0
14/02/2021,25,6.5,0,93,37,952,4
15/02/2021,25,6,0,93,39,950.9,0
16/02/2021,24,6.5,0,93,27,950.9,0
17/02/2021,26.3,6,0,93,30,952.1,0
18/02/2021,25.3,6,0,86,32,955.4,4
19/02/2021,25.5,6,0,86,33,956.5,0
20/02/2021,26,7,0,93,55,957.3,0
21/02/2021,23,8,0,93,33,954,4
22/02/2021,26,8.4,0,88,44,952.4,0
23/02/2021,25,12.6,1,95,44,950.9,0
24/02/2021,25.2,10,0,94,41,950.2,0
25/02/2021,27.5,11.5,0,69,29,949.1,2
26/02/2021,28,13.5,0,66,38,943.3,4
27/02/2021,24.5,12,0,84,26,945.5,4
28/02/2021,24,7,0,86,31,950,4
01/03/2021,25,8,0,87,25,953.5,2
02/03/2021,26.5,7,0,87,22,951.7,2
03/03/2021,27.3,7,0,80,20,950.1,2
04/03/2021,27.5,9,0,76,27,951.1,2
05/03/2021,28,8.5,0,87,22,950.2,4
06/03/2021,28.5,9,0,81,48,950,0
07/03/2021,23,11.9,0,83,33,948.7,2
08/03/2021,27,13.5,4,89,60,953.4,0
09/03/2021,22.5,8.2,8,94,31,951.6,0
10/03/2021,28,11,0,79,38,952.8,0
11/03/2021,27.5,14,1.8,79,79,955.5,4
12/03/2021,21.5,12.2,11.4,94,55,957.6,2
13/03/2021,21.5,9.5,0,94,45,956,2
14/03/2021,24.5,11.4,0,70,50,953,0
15/03/2021,23,11,2,94,50,951.3,0
16/03/2021,27,10.5,0,88,44,951.5,0
17/03/2021,26.7,12.3,0,89,38,950.2,0
18/03/2021,28.3,11,0,88,37,950.9,2
19/03/2021,29,12.5,0,83,21,949.2,2
20/03/2021,30,12.5,0,83,31,947.5,4
21/03/2021,30.5,14.5,0,84,95,950.2,2
22/03/2021,20,12.5,32,94,90,951.6,0
23/03/2021,16.5,13.4,28.3,100,100,953.7,2
24/03/2021,20,11.5,16.5,94,57,954.8,0
25/03/2021,24,11,0,94,36,952.4,2
26/03/2021,26.3,10.5,0,94,38,949.1,0
27/03/2021,28.5,12.5,0,94,37,948.2,0
28/03/2021,30,14.5,0,90,36,943.5,2
29/03/2021,31.5,17.5,0,86,30,943.3,2
30/03/2021,30.8,16,0,39,25,942.3,4
31/03/2021,29.2,13.8,0,35,13,943.5,10
01/04/2021,28,13,0,32,15,943.2,10
02/04/2021,27.8,14.3,0,25,15,945.4,4
03/04/2021,27.5,7,0,86,19,949.9,2
04/04/2021,29.5,11,0,77,32,949.7,4
05/04/2021,28,16.3,0,63,40,949.2,0
06/04/2021,29,15.4,0,81,90,949.3,2
