ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-01,28.79293274,13.210342707339514,18.358311986295952,28.79293274,28.79293274,-13.001375818456866,-13.001375818456866,-13.001375818456866,0.008322986368007474,0.008322986368007474,0.008322986368007474,-13.009698804824874,-13.009698804824874,-13.009698804824874,0.0,0.0,0.0,15.791556921543135
2000-01-02,28.79317902106031,13.317728118834495,18.561510473747695,28.79317902106031,28.79317902106031,-13.00847870577436,-13.00847870577436,-13.00847870577436,0.022334279835381946,0.022334279835381946,0.022334279835381946,-13.030812985609742,-13.030812985609742,-13.030812985609742,0.0,0.0,0.0,15.784700315285951
2000-01-03,28.79342530212062,13.229451102159297,18.415919680459183,28.79342530212062,28.79342530212062,-13.014022770975687,-13.014022770975687,-13.014022770975687,0.026065392906463765,0.026065392906463765,0.026065392906463765,-13.04008816388215,-13.04008816388215,-13.04008816388215,0.0,0.0,0.0,15.779402531144934
2000-01-04,28.79367158318093,13.277175568515506,18.21217824690115,28.79367158318093,28.79367158318093,-13.061165422292316,-13.061165422292316,-13.061165422292316,-0.022694431395720208,-0.022694431395720208,-0.022694431395720208,-13.038470990896595,-13.038470990896595,-13.038470990896595,0.0,0.0,0.0,15.732506160888615
2000-01-05,28.79391786424124,13.3126309281719,18.355389844346064,28.79391786424124,28.79391786424124,-13.047453152320784,-13.047453152320784,-13.047453152320784,-0.020454663218960757,-0.020454663218960757,-0.020454663218960757,-13.026998489101825,-13.026998489101825,-13.026998489101825,0.0,0.0,0.0,15.746464711920456
2000-01-06,28.79416414530155,13.172975940670876,18.35968122242942,28.79416414530155,28.79416414530155,-13.011590793127814,-13.011590793127814,-13.011590793127814,-0.004822746918007159,-0.004822746918007159,-0.004822746918007159,-13.006768046209805,-13.006768046209805,-13.006768046209805,0.0,0.0,0.0,15.782573352173737
2000-01-07,28.79441042636186,13.178450437359128,18.38938414130099,28.79441042636186,28.79441042636186,-12.987657032997936,-12.987657032997936,-12.987657032997936,-0.008750817577219551,-0.008750817577219551,-0.008750817577219551,-12.978906215420718,-12.978906215420718,-12.978906215420718,0.0,0.0,0.0,15.806753393363925
2000-01-08,28.794656707422167,13.428366124956607,18.51832791462449,28.794656707422167,28.794656707422167,-12.936214206874622,-12.936214206874622,-12.936214206874622,0.008322986368003975,0.008322986368003975,0.008322986368003975,-12.944537193242628,-12.944537193242628,-12.944537193242628,0.0,0.0,0.0,15.858442500547545
2000-01-09,28.794902988482477,13.45233044503208,18.426489643960412,28.794902988482477,28.794902988482477,-12.88241757205412,-12.88241757205412,-12.88241757205412,0.022334279835392552,0.022334279835392552,0.022334279835392552,-12.904751851889515,-12.904751851889515,-12.904751851889515,0.0,0.0,0.0,15.912485416428357
2000-01-10,28.795149269542794,13.232825674916667,18.49925530027609,28.795149269542794,28.795149269542794,-12.834512791314747,-12.834512791314747,-12.834512791314747,0.026065392906435916,0.026065392906435916,0.026065392906435916,-12.860578184221183,-12.860578184221183,-12.860578184221183,0.0,0.0,0.0,15.960636478228047
